Id,Name,Ratings,Price_Rs,Original_Price_Rs,Discount_Element,Annual_Power_Usage,Room_Size_sqft,Warranty
0,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.9,"31,490","45,400",30%, 965.71 kWh, 111 - 150 ,10 years warranty on Inverter compressor
1,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,3.9,"35,990","61,250",41%, 1006.84 kWh, 111 - 150 ,1 Year Warranty on Product
2,CARRIER 2024 Model AI Flexicool Convertible 6-in-1 Cooling 1.5 Ton 3 Star Split Inverter Dual Filtrati...,3.9,"34,990","67,790",48%, 964.1 W, 111 - 150 ,1 Year Warranty on Product
3,MarQ by Flipkart 2024 Range 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,4.1,"28,490","50,999",44%, 952.69 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
4,MarQ by Flipkart 2024 1.5 Ton 5 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  ...,4.1,"31,490","59,999",47%, 767.34 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
5,Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,4.1,"36,990","58,400",36%, 966.47 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board)
6,IFB AI Convertible 8-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling AC ...,3.8,"34,990","62,990",44%, 991.28 W, 111 - 150 ,1 Year Warranty on Product
7,Blue Star 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4,"44,990","75,000",40%, 770.98 W, 111 - 150 ,1 Year Warranty on Product
8,Daikin 2023 Model 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,4.1,"45,490","67,200",32%, 785.67 kWh, 111 - 150 ,1 Year Warranty on Product
9,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,3.9,"32,990","62,990",47%, 975.26 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
10,SAMSUNG Convertible 5-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"34,990","60,990",42%, 977.8 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
11,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.9,"28,990","42,900",32%, 694.03 kWh,90,10 years warranty on Inverter compressor
12,Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - ...,4.1,"36,990","55,400",33%, 1002.31 W, 111 - 150 ,1 Year Warranty on Product
13,CARRIER 1.5 Ton 5 Star Split Inverter AC  - White,3.9,"41,990","76,090",44%, 754.05 W, 111 - 150 ,1 Year Warranty on Product
14,LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Vir...,4.1,"37,690","78,990",52%, 852.44 W, 111 - 150 ,1 Year Warranty on Product
15,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,3.9,"38,990","75,990",48%, 751.28 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
16,CARRIER 1 Ton 3 Star Split Inverter AC  - White,3.9,"29,990","56,990",47%, 704.46 W,90,1 Year Warranty on Product
17,Godrej 5-In-1 Convertible 2024 Model 1.5 Ton 5 Star Split Inverter With Heavy Duty Cooling at Extreme ...,3.9,"36,990","54,900",32%, 728.37 W, 111 - 150 ,1 Year Warranty on Product
18,MarQ by Flipkart 2024 Range 1 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology ...,4.1,"26,490","47,999",44%, 675.18 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
19,"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...",4.1,"44,990","63,400",29%, 774.19 W, 111 - 150 ,1 Year Warranty on Product
20,Hisense 2024 Model 1.5 Ton 3 Star Split Inverter 4-in-1 Convertible With Intelligent 4 modes and PM 2....,4.1,"29,990","48,000",37%, 959.9 W, 111 - 150 ,1 Year Comprehensive Warranty on Product
21,SAMSUNG AI pro 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4,"36,490","61,990",41%, 977.8 W, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
22,ONIDA 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"33,490","50,900",34%, 779.15 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor from Onida
23,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,4.1,"43,990","74,000",40%, 770.98 W, 111 - 150 ,1 Year Warranty on Product
24,Voltas 2024 Model 1.5 Ton 5 Star Split Inverter AC  - White,3.9,"38,990","75,990",48%, 751.28 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
25,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"32,990","64,990",49%, 975.26 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
26,CARRIER 1.5 Ton 5 Star Split Inverter AC  - White,3.9,"41,990","76,090",44%, 754.05 W, 111 - 150 ,1 Year Warranty on Product
27,Panasonic 7 in 1 Convertible with True AI Mode 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - Wh...,4.1,"32,990","48,100",31%, 676.64 W,90,1 Year Warranty on Product
28,Godrej 5-In-1 Convertible 2024 Model 1.5 Ton 5 Star Split Inverter With Heavy Duty Cooling at Extreme ...,3.9,"36,990","54,900",32%, 728.37 W, 111 - 150 ,1 Year Warranty on Product
29,Voltas 2023 Model 1.2 Ton 3 Star Split Inverter AC  - White,3.9,"30,990","60,490",48%, 783.99 kWh, 91 - 110 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
30,Whirlpool 6th Sense Convertible 4-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Inverter With Heavy Dut...,4,"31,490","62,000",49%, 943.67 W, 111 - 150 ,1 Year Warranty on Product and 4 Years Warranty on Compressor
31,ONIDA Convertible 5-in-1 Cooling 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"28,990","46,900",38%, 952.59 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
32,MarQ by Flipkart 2023 Range 0.7 Ton 3 Star Split Inverter with Turbo Cool Technology AC  - White,4.2,"21,990","44,449",50%, 530.44 kWh,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
33,CARRIER 2024 Model AI Flexicool Convertible 6-in-1 Cooling 1.5 Ton 3 Star Split Inverter Dual Filtrati...,3.9,"34,990","67,790",48%, 964.1 W, 111 - 150 ,1 Year Warranty on Product
34,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,4.1,"42,990","63,400",32%, 774.19 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product
35,realme TechLife 2024 Model 1.5 Ton 5 Star Split Inverter Smart AC with Wi-fi Connect  - White,4.1,"32,999","65,999",50%, 770.08 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
36,Godrej 5-In-1 Convertible 2024 Model 1.5 Ton 4 Star Split Inverter 4 Way Air Swing And Heavy Duty Cool...,3.9,"32,990","49,900",33%, 835.07 W, 111 - 150 ,1 Year Warranty on Product
37,Daikin 2023 Model 1 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,4.1,"32,990","48,200",31%, 680.4 kWh,90,1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board)
38,Godrej 5-In-1 Convertible Cooling 2 Ton 3 Star Split Inverter With Heavy Duty Cooling at Extreme Tempe...,3.9,"40,990","60,990",32%, 1183.2 W, 151 - 200 ,1 Year Warranty on Product
39,LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 5 Star Split Inverter 4 Way Air Swing HD Filter with...,4.1,"39,990","75,990",47%, 521.2 W,90,1 Year Warranty on Product
40,Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,3.9,"31,490","45,400",30%, 965.71 kWh, 111 - 150 ,10 years warranty on Inverter compressor
41,Blue Star 2023 Model 1.3 Ton 3 Star Split Inverter AC  - White,4,"33,390","57,500",41%, 865.48 kWh, 111 - 150 ,1 Year Warranty on Product
42,Lloyd 2023 Model 0.8 Ton 3 Star Split Inverter AC  - White,4.1,"26,990","47,990",43%, 549.06 kWh,90,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
43,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4,"36,990","64,250",42%, 1026.46 kWh, 111 - 150 ,1 Year Warranty on Product
44,Hisense 2024 Model 1.5 Ton 5 Star Split Inverter 4-in-1 Convertible With Intelligent 4 modes and PM 2....,4.1,"35,990","60,000",40%, 767.34 W, 111 - 150 ,1 Year Comprehensive Warranty on Product
45,Godrej 1.5 Ton 3 Star Split Inverter AC  - White,3.7,"30,999","47,999",35%, 980.37 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
46,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Inverter 4 Way Swing, HD Filter with ...",3.9,"47,490","85,990",44%, 744.99 W, 111 - 150 ,1 Year Warranty on Product
47,Godrej 5-in-1 Convertible Cooling 2.5 Ton 3 Star Split Inverter With 4 Way Air Swing and Heavy Duty Co...,3.8,"49,790","68,000",26%, 1330.81 W,,
48,Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,3.9,"28,990","42,900",32%, 694.03 kWh,90,10 years warranty on Inverter compressor
49,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - W...,4,"32,990","60,990",45%, 977.8 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
50,Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4,"36,990","64,250",42%, 1026.46 kWh, 111 - 150 ,1 Year Warranty on Product
51,Blue Star 1 Ton 3 Star Split Inverter AC  - Silver,4.1,"31,990","51,500",37%, 705.78 W,90,1 Year Warranty on Product
52,Daikin 2023 Model 1.8 Ton 3 Star Split Inverter AC  - White,4.1,"49,990","72,900",31%, 1161.78 kWh, 151 - 200 ,1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board)
53,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Dual Inverter 4 Way Swing, HD Filter ...",4.1,"47,490","85,990",44%, 744.54 W, 111 - 150 ,1 Year Warranty on Product
54,Blue Star 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4,"38,390","64,000",40%, 517.83 W,90,1 Year Warranty on Product
55,Whirlpool 6th Sense Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter With Heavy Dut...,4.2,"37,490","70,600",46%, 701.52 W, 111 - 150 ,1 Year Warranty on Product and 4 Years Warranty on Compressor
56,MOTOROLA 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"29,990","52,999",43%, 953.78 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
57,Voltas 1 Ton 3 Star Split Inverter AC  - White,3.8,"29,990","56,990",47%, 672.93 kWh,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
58,SAMSUNG AI pro 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4,"36,490","61,990",41%, 977.8 W, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
59,CARRIER 1 Ton 3 Star Split Inverter AC  - White,3.9,"29,990","56,990",47%, 704.46 W,90,1 Year Warranty on Product
60,"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1 Ton 5 Star Split Inverter AC with Wi-f...",4.1,"38,990","54,100",27%, 524.08 W,90,1 Year Warranty on Product
61,Lloyd 1 Ton 5 Star Split Inverter AC  - White,4.1,"33,990","57,990",41%, 533.89 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
62,SAMSUNG Convertible 5-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Inverter AC  - White,4.1,"44,990","72,990",38%, 749.48 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
63,Voltas 1 Ton 3 Star Split Inverter AC  - White,3.9,"28,990","56,990",49%, 669.81 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
64,"Haier 1.5 Ton 3 Star Split Dual Inverter 5 in 1 Convertible with Micro Bacterial Filter, 54 High Ambie...",4,"32,990","60,000",45%, 925.24 W, 111 - 150 ,1 Year Warranty on Product and 12 Years Warranty on Compressor
65,CARRIER AI Flexicool Convertible 6-in-1 Cooling 1.5 Ton 4 Star Split Inverter Dual Filtration with HD ...,3.9,"37,990","69,790",45%, 859.34 W, 111 - 150 ,1 Year Warranty on Product
66,Blue Star 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4,"44,990","75,000",40%, 770.98 W, 111 - 150 ,1 Year Warranty on Product
67,Blue Star 0.8 Ton 3 Star Split Inverter AC  - White,4,"27,990","42,500",34%, 544.39 W,90,1 Year Warranty on Product
68,IFB AI Convertible 8-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter With Heavy Duty Cooling at 55...,3.8,"29,990","52,990",43%, 655.74 W,90,1 Year Warranty on Product
69,MarQ by Flipkart 2024 1 Ton 5 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - ...,4.1,"28,990","52,999",45%, 675.18 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
70,Lloyd 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,4.1,"39,990","67,990",41%, 780.56 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
71,Voltas 1 Ton 5 Star Split Inverter AC  - White,3.9,"34,990","63,990",45%, 518.75 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
72,"Midea 2023 Model 1.5 Ton 5 Star Split Inverter HD Filter with 2 Way Air Directional Control,Gear Funct...",4,"32,990","68,990",52%, 754.05 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
73,Lloyd 1 Ton 3 Star Split Inverter AC  - White,4.1,"29,990","49,990",40%, 698.48 W,90,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
74,Godrej 5-In-1 Convertible 2024 Model Wood Finish 1.5 Ton 3 Star Split Inverter 4 Way Air Swing AC  - B...,3.9,"35,990","48,900",26%, 980.37 W, 111 - 150 ,1 Year Warranty on Product
75,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - Whi...,4.1,"47,990","83,990",42%, 1145.22 kWh, 151 - 200 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
76,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blu...,3.9,"36,990","54,900",32%, 744.39 kWh, 111 - 150 ,10 years warranty on Inverter compressor
77,Blue Star 1 Ton 5 Star Split Inverter AC  - White,4.1,"36,990","63,000",41%, 517.83 W,90,1 Year Warranty on Product
78,IFB AI Convertible 8-in-1 Cooling 2024 Model 1.5 Ton 5 Star Split Inverter With Heavy Duty Cooling AC ...,3.8,"40,990","74,990",45%, 706.85 W, 111 - 150 ,1 Year Warranty on Product
79,Voltas 0.8 Ton 3 Star Split Inverter AC  - White,3.9,"26,990","54,990",50%, 534.21 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
80,Godrej 2 Ton 3 Star Split Inverter AC  - White,3.5,"41,999","51,990",19%, 1201.27 kWh, 151 - 200 ,1 Year Warranty on Product
81,"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...",4,"51,990","72,900",28%, 774.19 W, 111 - 150 ,1 Year Warranty on Product
82,MarQ by Flipkart 1 Ton 5 Star Split Inverter AC  - White,4.2,"23,205","45,999",49%, 935 kWh,90,1 Year Warranty on Product and 5 Years on Compressor
83,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 2 Ton 3 Star Split Inverter Smart Ready, 7 Stage A...",3.8,"41,990","63,490",33%, 1248.28 kWh, 151 - 200 ,1 Year Warranty on Product
84,"Haier UVC Sterilization 2023 Model 1.6 Ton 5 Star Split Inverter Frost Self-clean technology, Superson...",4.3,"44,990","79,990",43%, 828.37 kWh, 151 - 200 ,5 Years Comprehensive Warranty and 12 Years Compressor Warranty
85,Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,3.5,"35,190","61,990",43%, 940.43 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
86,TCL 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"33,990","45,991",26%, 985.71 kWh, 111 - 150 ,1 Year Warranty on Product
87,SAMSUNG Convertible 5-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Inverter WindFree Technology AC wit...,4.2,"42,990","62,990",31%, 977.8 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
88,"Haier 1 Ton 3 Star Split Dual Inverter with Micro Bacterial Filter, 60 High Ambient Performance, 20 Mt...",4,"31,490","58,000",45%, 697.66 W,90,5 Years Warranty on Product and 12 Years Warranty on Compressor
89,"Haier 5 in 1 Convertible 1.5 Ton 5 Star Split Dual Inverter with Micro Bacterial Filter, 54 High Ambie...",4,"40,490","71,000",42%, 925.24 W, 111 - 150 ,5 Years Warranty on Product and 12 Years Warranty on Compressor
90,"LG AI Convertible 6-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with An...",4.1,"35,590","67,990",47%, 642.26 W,90,1 Year Warranty on Product
91,realme TechLife 2024 Model 1 Ton 3 Star Split Inverter Smart AC with Wi-fi Connect  - White,4.1,"27,490","49,999",45%, 663.61 kWh,90,1 Year Warranty on Product and 10 Years on Compressor
92,Hitachi Iconic wave design 2023 Model 1.5 Ton 3 Star Split Soft dry Silent Air Ambience Light R 32 AC ...,4.1,"38,890","56,300",30%, 1039.62 kWh, 111 - 150 ,1 Year Warranty on Product and  5 Years Warranty on Compressor
93,Daikin 2023 Model 1.8 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,4.1,"59,990","83,900",28%, 923.07 kWh, 151 - 200 ,1 Year Warranty on Product
94,MOTOROLA 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"32,990","61,999",46%, 770.08 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
95,ONIDA Convertible 5-in-1 Cooling 2 Ton 3 Star Split Inverter AC  - White,4.1,"39,990","60,900",34%, 1220.1 W, 151 - 200 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
96,"Midea 2023 Model 2 Ton 3 Star Split Inverter HD Filter with 2 Way Air Directional Control, Auto Cleans...",4,"36,990","71,290",48%, 1249.82 kWh, 151 - 200 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
97,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"32,490","64,990",50%, 975.26 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
98,realme TechLife 2024 Model 1.5 Ton 3 Star Split Inverter Smart AC with Wi-fi Connect  - White,4.1,"29,990","53,999",44%, 953.78 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
99,Whirlpool 6th Sense Convertible 4-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter With Heavy Duty ...,4,"29,490","57,700",48%, 684.14 W,90,1 Year Warranty on Product and 4 Years Warranty on Compressor
100,"LG AI Convertible 6-in-1 Cooling 2024 Model 2 Ton 3 Star Split Dual Inverter 4 Way Swing, HD Filter wi...",4.1,"53,990","95,990",43%, 1220.4 W, 151 - 200 ,1 Year Warranty on Product
101,Hitachi Iconic wave design 2023 Model 1 Ton 3 Star Split Soft dry Silent Air Ambience Light R 32 AC  -...,4.1,"33,499","46,600",28%, 706.76 kWh,90,1 Year Warranty on Product and  5 Years Warranty on Compressor
102,Hisense 2024 Model 2 Ton 3 Star Split Inverter 4-in-1 Convertible With Intelligent 4 modes and PM 2.5 ...,4.1,"39,990","69,000",42%, 1260.53 W, 151 - 200 ,1 Year Comprehensive Warranty on Product
103,Hisense 2024 Model 1 Ton 3 Star Split Inverter 4-in-1 Convertible With Intelligent 4 modes and PM 2.5 ...,4.1,"28,990","46,000",36%, 674.08 W,90,1 Year Comprehensive Warranty on Product
104,Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,4.1,"39,990","67,990",41%, 758.96 W, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
105,Daikin 2023 Model 0.8 Ton 3 Star Split AC with PM 2.5 Filter  - White,4,"27,200","37,400",27%, 548.84 kWh,90,1 Year Warranty on Product and 5 Years on Compressor
106,Thomson 2023 Model 1 Ton 2 Star Split With iBreeze Technology AC  - White,4,"26,490","36,998",28%, 732.3 kWh,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
107,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,4.1,"36,459","73,500",50%, 770.5 kWh, 111 - 150 ,1 Year Warranty on Product
108,Panasonic 0.8 Ton 3 Star Split Inverter AC  - White,4.1,"28,990","44,100",34%, 519.64 W,90,1 Year Warranty on Product
109,Daikin 1 Ton 5 Star Split Inverter AC  - White,3.7,"41,290","55,500",25%, 523.54 kWh,90,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
110,Daikin 1 Ton 3 Star Split AC with PM 2.5 Filter  - White,4,"33,699","46,000",26%, 656.44 kWh,90,1 Year Warranty on Product and 5 Years on Compressor
111,CARRIER Convertible 4-in-1 Cooling 2023 Model 1 Ton 3 Star Split AI Flexicool Inverter Dual Filtration...,3.9,"29,990","56,990",47%, 704.46 kWh,90,1 Year Warranty on Product
112,CARRIER 2024 Model AI Flexicool Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Inverter Dual Filtrati...,4.2,"41,990","76,090",44%, 754.05 W, 111 - 150 ,1 Year Warranty on Product
113,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter ...",4.1,"34,790","78,990",55%, 849.1 W, 91 - 110 ,1 Year Warranty on Product
114,Midea 2023 Model 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter With Auto Cleanser AC  - White,4,"24,990","50,190",50%, 526.03 kWh,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
115,Lloyd 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,4.1,"32,990","59,990",45%, 999.49 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
116,Panasonic Convertible 7-in-1 with Additional AI Mode Hot & Cold 2023 Model 1.5 Ton 3 Star Split Invert...,4.1,"47,990","61,400",21%, 972.89 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product
117,Daikin 1.5 Ton 3 Star Hot and Cold Split Inverter AC  - White,3.8,"48,322","61,300",21%, 881.05 kWh, 111 - 150 ,1 Year on Product
118,Hitachi 2 Ton 3 Star Split Inverter AC  - White,N/A,"52,990","81,100",34%, 1409.41 W, 151 - 200 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
119,Blue Star 2023 Model 1 Ton 3 Star Split Inverter AC  - White,4.1,"32,390","51,500",37%, 704.42 kWh,90,1 Year Warranty on Product
120,"LG AI Convertible 6-in-1 Cooling 2024 Model 1.2 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter ...",4.1,"34,790","78,990",55%, 849.1 W, 91 - 110 ,1 Year Warranty on Product
121,Hitachi 2 Ton 3 Star Split Inverter AC  - White,N/A,"52,990","81,100",34%, 1409.41 W, 151 - 200 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
122,Blue Star 2023 Model 1 Ton 3 Star Split Inverter AC  - White,4.1,"32,390","51,500",37%, 704.42 kWh,90,1 Year Warranty on Product
123,Daikin 1 Ton 3 Star Split AC with PM 2.5 Filter  - White,4,"33,699","46,000",26%, 656.44 kWh,90,1 Year Warranty on Product and 5 Years on Compressor
124,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,4,"36,990","58,400",36%, 967.4 kWh, 111 - 150 ,1 Year Warranty on Product
125,Godrej 5-In-1 Convertible Cooling 2024 Model 1.5 Ton 3 Star Split Inverter Anti Leak And Heavy Duty Co...,3.9,"33,990","48,900",30%, 980.37 W, 111 - 150 ,1 Year Warranty on Product
126,SAMSUNG 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"52,990","74,990",29%, 749.48 W, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
127,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...",3.9,"41,990","73,000",42%, 770.98 kWh, 111 - 150 ,1 Year Warranty on Product
128,Lloyd 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,N/A,"36,690","57,990",36%, 533.89 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
129,Thomson 2023 Model 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC...,3.9,"29,990","48,998",38%, 837.93 kWh, 111 - 150 ,1 Year on Product and 10 Years on Compressor Warranty
130,Daikin 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,3.9,"39,999","58,400",31%, 966.47 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
131,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.8 Ton 3 Star Split Inverter Xpandable plus Ambien...,3.7,"43,999","74,050",40%, 1251 kWh, 151 - 200 ,1 Year Warranty on Product
132,Voltas 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"32,990","62,990",47%, 975.26 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years Warranty on Compressor
133,Panasonic 7 in 1 Convertible 1.5 Ton 3 Star Split Inverter AC  - White,4,"35,990","54,400",33%, 952.59 W, 111 - 150 ,1 Year Warranty on Product
134,Blue Star 1.5 Ton 4 Star Split Inverter AC  - White,4.1,"40,990","69,500",41%, 850.74 W, 111 - 150 ,1 Year Warranty on Product
135,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - W...,4.1,"34,990","61,990",43%, 977.8 kWh, 111 - 150 ,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor
136,CANDY 2023 Model 1 Ton 4 Star Split Inverter AC  - White,4,"26,490","57,500",53%, 600.21 kWh,90,1 year on Product and 10 Year on compressor
137,Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Hot and Cold Split Inverter AC with Wi-f...,4.1,"47,990","62,900",23%, 972.89 W, 111 - 150 ,1 Year Warranty on Product
138,Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,3.9,"32,990","49,990",34%, 883.14 kWh, 111 - 150 ,10 years warranty on Inverter compressor
