Id,Name,Ratings,Price_Rs,Original_Price_Rs,Discount_Element,Annual_Power_Usage,Room_Size_sqft,Warranty
722,Voltas 1.5 Ton 5 Star Split Inverter adjustible AC  - White,4.3,"58,900","75,000",21%, 892.9 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
723,CARRIER 6-in-1 Flexicool 2023 Model 1.5 Ton 5 Star Split Inverter with Anti-Viral Guard & Smart Energy...,4.1,"81,890",N/A,N/A, 799.71 kWh, 111 - 150 ,1 Year Warranty on Product
724,Voltas 1.5 Ton 4 Star Split Inverter AC  - White,4.2,"53,591","73,990",27%, 945.28 kWh, 111 - 150 ,1 Year Warranty on Product and 5 Years on Compressor
725,Blue Star 1 Ton 3 Star Split Inverter AC  - Grey,N/A,"38,000","51,500",26%, 705.78 W,90,1 Year Warranty on Product and 10 Years Warranty on Compressor
726,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"51,811","71,200",27%, 756.78 kWh, 111 - 150 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
727,CARRIER 0.8 Ton 3 Star Split Inverter Cold Catalyst Filter with Auto cleanser(2023 Model) AC  - White,3.9,"55,690",N/A,N/A, 526.03 kWh,90,1 Year Warranty on Product
728,Godrej 1.5 Ton 3 Star Split Inverter Convertible 5-in-1 Cooling with Anti-Virus Protection AC  - White...,3.9,"37,500","43,900",14%, 1046.29 kWh, 111 - 150 ,1 Year Warranty on Product and 10 Years on Compressor
729,iMEE 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"35,024","79,999",56%, 1835 kWh, 111 - 150 ,1 Year for Indoor Unit and 5 Years for Outdoor Unit
730,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"41,800","70,500",40%, 1012.16 W, 111 - 150 ,1 Year Warranty on Product
731,MOTOROLA 1.5 Ton 3 Star Split Dual Inverter AC  - Silver,4.4,"24,956","46,399",46%, 1101.4 kWh, 111 - 150 ,1 year on product and 10 years on compressor
732,Lloyd 2 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4,"55,999","79,990",29%, 1070.16 kWh, 151 - 200 ,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
733,Daikin 2 Ton 3 Star Split Inverter AC  - White,N/A,"73,000","87,500",16%, 1376.59 kWh, 151 - 200 ,1 Year Warranty on Product and 10 Years on Compresser
734,O General 1.1 Ton Split AC  - White,N/A,"44,134","46,320",4%, 91 - 110 sqft,,
735,Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"45,400","75,990",40%, 794.34 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
736,Blue Star 2 Ton 3 Star Split Inverter AC  - Silver,N/A,"61,000","80,000",23%, 1239.63 W, 151 - 200 ,1 Year Warranty on Product
737,CARRIER 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,4.4,"47,800","62,900",24%, 1800 kWh, 111 - 150 ,1 Year Warranty on Product
738,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.1,"51,600","70,500",26%, 818.81 kWh, 111 - 150 ,1 Year Warranty on Product
739,Acer 2 Ton 3 Star Split Inverter AC  - White,N/A,"47,999","61,999",22%, 1209.98 W, 151 - 200 ,1 Year Warranty on Product
740,Panasonic 2023 Model 1.5 Ton 4 Star Split Inverter AC  - White,N/A,"48,100","66,900",28%, 885.4 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
741,iMEE 1.5 Ton 5 Star Split Inverter AC  - White,N/A,"39,999","79,999",50%, 1360 kWh, 111 - 150 ,1 Year for Indoor Unit and 5 Years for Outdoor Unit
742,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"47,999","58,400",17%, 967.4 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
743,CARRIER Flexicool Convertible 4-in-1 Cooling 2 Ton 3 Star Split Inverter Dual Filtration with HD and P...,3.9,"57,500","78,500",26%, 1257.12 kWh, 151 - 200 ,1 Year warranty on Product
744,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"47,999","58,400",17%, 967.4 W, 111 - 150 ,1 Year Warranty on Product and 5 Years Warranty on Compressor
745,CARRIER Flexicool Convertible 4-in-1 Cooling 2 Ton 3 Star Split Inverter Dual Filtration with HD and P...,3.9,"57,500","78,500",26%, 1257.12 kWh, 151 - 200 ,1 Year warranty on Product
746,Blue Star 1 Ton 3 Star Split AC  - White,3.8,"44,890","49,990",10%, 727.66 kWh,90,1 Year on Product and 5 Years Warranty on Compressor
747,Gazhal 1 Ton Split Inverter AC  - Off White,N/A,"35,995","44,980",19%, 90 sqft or Below,,
748,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"45,309","54,990",17%, 863.15 kWh, 111 - 150 ,1 Year comprehensive and 10 years on Compressor
749,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 4 Star Split Inverter ...,4.1,"53,999","64,999",16%, 876.76 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product
750,Panasonic 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,4.1,"41,910","50,000",16%, 1002.72 kWh, 111 - 150 ,1 Year Comprehensive Warranty
751,"Hitachi 1.8 Ton 3 Star Split Inverter AC  - White, Gold",3.8,"40,990","69,600",41%, 1236.39 kWh, 151 - 200 ,1 Year Warranty on Complete Product and 10 Years on Compressor
752,Gazhal 1 Ton Split Inverter AC  - Off White,N/A,"34,499","41,980",17%, 90 sqft or Below,,
753,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,3,"41,300","63,500",34%, 1012.16 W, 111 - 150 ,1 Year Warranty on Product
754,Panasonic 2023 Model 1.5 Ton 3 Star Split Inverter AC  - White,N/A,"46,999","59,900",21%, 1000.27 kWh, 111 - 150 ,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
755,Daikin 1.5 Ton 3 Star Split Inverter AC  - White,4.2,"45,990","59,000",22%, 731.9 kWh, 111 - 150 ,1 Year on Product and 5 Years on Compressor from Daikin
756,Mitsubishi 1.1 Ton Split Inverter AC  - WHTE,N/A,"47,500","56,400",15%, 91 - 110 sqft,,
757,Daikin 1.8 Ton 4 Star Split Inverter AC with PM 2.5 Filter  - White,N/A,"72,500","76,600",5%, 1094.44 kWh, 151 - 200 ,1 Year Warranty on Product
758,Mitsubishi 1.6 Ton Split AC  - White,N/A,"65,000","65,900",1%, 151 - 200 sqft,,
759,Daikin 2.02 Ton 3 Star Split Inverter AC  - White,4.1,"61,990","86,800",28%, 1372.85 W,,
760,Panasonic 2023 Model 1 Ton 3 Star Split Inverter AC  - White,N/A,"43,999","52,999",16%, 676.37 kWh,90,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor
